Fixity report
Project name	hello
Algorithm used	sha256
Date	2013-12-09
Total files	29
Files confirmed	29
Files moved	0
Files created	0
Files corrupted	0
Files missing	0
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\FW_ MEDIA REQUEST  #76235-1, #76237-1, #76238-1, #76239-1, #76240-1, #76241-1, #76242-1.eml
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\medical new assignment.docx
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture.png
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture.vsd
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture.vss
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\arrow.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\data.xml
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\filelist.xml
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\find.js
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\frameset.js
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\fullpage.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\gif_1.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\gif_1.js
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\go.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\keys.js
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\maximize.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\minimize.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\minus.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\panminus.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\panplus.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\plus.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\tick-foc.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\tick-off.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\tick-on.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\toc.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\toc2.gif
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\visio.css
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\vml_1.emz
CONFIRMED	C:\Users\Furqan\Desktop\Assignment\richpicture_files\vml_1.js
